Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
24/01/2010,הודו,אסיה,הוריקן,דרגה 5,1608,קריסת מערכות מוחלטת,140,11804,1778,קריטית,כן
18/02/2006,איטליה,אירופה,הוריקן,דרגה 2,6010,קריסת מערכות מוחלטת,96,31467,1268,קריטית,כן
17/02/2022,טורקיה,אירופה,הוריקן,דרגה 2,12802,קריסת מערכות מוחלטת,86,2452,1581,קריטית,כן
03/01/2008,יפן,אסיה,הוריקן,דרגה 3,5881,קריסת מערכות מוחלטת,14,17639,388,קריטית,כן
24/12/2008,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,3511,קריסת מערכות מוחלטת,207,5959,1019,קריטית,כן
25/02/2025,הודו,אסיה,הוריקן,דרגה 2,8936,קריסת מערכות מוחלטת,136,2587,418,קריטית,כן
12/08/2003,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,11853,קריסת מערכות מוחלטת,69,17771,317,קריטית,כן
02/12/2000,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,2562,קריסת מערכות מוחלטת,19,38971,1950,קריטית,כן
28/10/2013,יפן,אסיה,הוריקן,דרגה 2,5300,קריסת מערכות מוחלטת,39,12425,780,קריטית,כן
08/11/2016,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,1523,קריסת מערכות מוחלטת,162,8419,1873,קריטית,כן
16/08/2010,איטליה,אירופה,הוריקן,דרגה 2,9545,קריסת מערכות מוחלטת,191,20300,1474,קריטית,כן
25/01/2004,אינדונזיה,אסיה,הוריקן,דרגה 2,8256,קריסת מערכות מוחלטת,94,7371,1219,קריטית,כן
11/02/2012,איטליה,אירופה,הוריקן,דרגה 1,12176,קריסת מערכות מוחלטת,41,11403,164,קריטית,כן
19/04/2010,טורקיה,אירופה,הוריקן,דרגה 1,14402,קריסת מערכות מוחלטת,281,40277,839,קריטית,כן
25/01/2002,קנדה,צפון אמריקה,הוריקן,דרגה 2,8868,קריסת מערכות מוחלטת,75,8251,1092,קריטית,כן
14/10/2001,קנדה,צפון אמריקה,הוריקן,דרגה 3,3249,קריסת מערכות מוחלטת,29,3637,1311,קריטית,כן
05/02/2000,טורקיה,אירופה,הוריקן,דרגה 1,12008,קריסת מערכות מוחלטת,170,33551,1503,קריטית,כן
21/05/2008,קנדה,צפון אמריקה,הוריקן,דרגה 3,4608,קריסת מערכות מוחלטת,162,9263,845,קריטית,כן
20/05/2018,יפן,אסיה,הוריקן,דרגה 1,6139,קריסת מערכות מוחלטת,212,18607,1153,קריטית,כן
16/05/2017,יפן,אסיה,הוריקן,דרגה 3,2069,קריסת מערכות מוחלטת,64,20541,158,קריטית,כן
02/05/2011,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,13356,קריסת מערכות מוחלטת,34,33501,643,קריטית,כן
01/08/2025,יפן,אסיה,הוריקן,דרגה 5,1442,קריסת מערכות מוחלטת,274,16979,1798,קריטית,כן
02/08/2020,קנדה,צפון אמריקה,הוריקן,דרגה 4,10233,קריסת מערכות מוחלטת,194,21967,819,קריטית,כן
08/01/2020,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,4168,קריסת מערכות מוחלטת,65,13312,1182,קריטית,כן
12/12/2013,יפן,אסיה,הוריקן,דרגה 2,14557,קריסת מערכות מוחלטת,76,36065,1934,קריטית,כן
13/10/2009,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,3091,קריסת מערכות מוחלטת,11,18107,844,קריטית,כן
30/04/2012,קנדה,צפון אמריקה,הוריקן,דרגה 3,10965,קריסת מערכות מוחלטת,1,49139,1535,קריטית,כן
31/08/2025,אינדונזיה,אסיה,הוריקן,דרגה 3,8833,קריסת מערכות מוחלטת,274,40382,519,קריטית,כן
06/06/2009,אינדונזיה,אסיה,הוריקן,דרגה 5,7471,קריסת מערכות מוחלטת,159,49579,1424,קריטית,כן
19/01/2000,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,5884,קריסת מערכות מוחלטת,29,14513,1690,קריטית,כן
09/06/2012,איטליה,אירופה,הוריקן,דרגה 1,6833,קריסת מערכות מוחלטת,295,6011,350,קריטית,כן
03/09/2023,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,11697,קריסת מערכות מוחלטת,19,12848,1251,קריטית,כן
04/03/2000,איטליה,אירופה,הוריקן,דרגה 1,13359,קריסת מערכות מוחלטת,247,38855,1891,קריטית,כן
23/03/2002,טורקיה,אירופה,הוריקן,דרגה 4,14320,קריסת מערכות מוחלטת,78,5443,1585,קריטית,כן
16/10/2007,קנדה,צפון אמריקה,הוריקן,דרגה 1,3805,קריסת מערכות מוחלטת,300,35268,1221,קריטית,כן
03/08/2001,איטליה,אירופה,הוריקן,דרגה 4,12141,קריסת מערכות מוחלטת,205,36028,1976,קריטית,כן
07/07/2008,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,3668,קריסת מערכות מוחלטת,34,45519,117,קריטית,כן
28/05/2002,איטליה,אירופה,הוריקן,דרגה 5,7739,קריסת מערכות מוחלטת,105,25332,30,קריטית,כן
08/02/2021,טורקיה,אירופה,הוריקן,דרגה 3,9142,קריסת מערכות מוחלטת,145,47013,803,קריטית,כן
16/03/2026,הודו,אסיה,הוריקן,דרגה 2,11211,קריסת מערכות מוחלטת,270,26495,1418,קריטית,כן
24/12/2010,קנדה,צפון אמריקה,הוריקן,דרגה 1,7850,קריסת מערכות מוחלטת,50,15471,1951,קריטית,כן
30/11/2003,הודו,אסיה,הוריקן,דרגה 5,12705,קריסת מערכות מוחלטת,113,40887,1971,קריטית,כן
10/03/2014,אינדונזיה,אסיה,הוריקן,דרגה 1,13313,קריסת מערכות מוחלטת,133,18192,1140,קריטית,כן
29/12/2015,יפן,אסיה,הוריקן,דרגה 4,14268,קריסת מערכות מוחלטת,283,48761,40,קריטית,כן
28/12/2012,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,7864,קריסת מערכות מוחלטת,296,22785,735,קריטית,כן
