Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Duration_Days,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
20/06/2007,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 10 מטר,155,3,נזק חלקי לתשתיות,102,5403,536,גבוהה,לא
26/04/2024,הודו,אסיה,שריפת יער,סכנה קיצונית,11288,43,קריסת מערכות מוחלטת,9,42490,1637,קריטית,כן
08/05/2009,אינדונזיה,אסיה,רעידת אדמה,5.6 ריכטר,492,2,קריסת מערכות מוחלטת,111,5378,1060,קריטית,כן
04/08/2008,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 3.8 מטר,901,3,קריסת מערכות מוחלטת,293,19915,1259,קריטית,כן
28/02/2013,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,4430,11,נזק חלקי לתשתיות,15,35297,1457,קריטית,כן
10/08/2012,צ'ילה,דרום אמריקה,רעידת אדמה,8.0 ריכטר,559,4,נזק קל בלבד,72,25078,1406,קריטית,כן
08/06/2007,יפן,אסיה,רעידת אדמה,6.8 ריכטר,450,1,נזק חלקי לתשתיות,201,49868,1197,קריטית,כן
31/03/2020,קנדה,צפון אמריקה,רעידת אדמה,8.0 ריכטר,692,3,נזק קל בלבד,57,36558,7,גבוהה,כן
13/06/2016,טורקיה,אירופה,רעידת אדמה,6.5 ריכטר,184,2,קריסת מערכות מוחלטת,5,33081,186,קריטית,כן
05/09/2006,צ'ילה,דרום אמריקה,רעידת אדמה,5.8 ריכטר,487,2,נזק חלקי לתשתיות,20,3854,282,בינונית,לא
10/11/2017,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,12011,29,נזק קל בלבד,135,44756,558,גבוהה,לא
02/02/2006,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 3.0 מטר,2518,9,קריסת מערכות מוחלטת,154,28549,1951,קריטית,כן
26/05/2012,הודו,אסיה,הוריקן,דרגה 3,2363,6,נזק קל בלבד,194,28820,755,קריטית,כן
